0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0
0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0
0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0
0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0
0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0
0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0
0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0
0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;emptyStroke
1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;emptyStroke;0;0;0;0;0;0;0;0;0;0;0;0
